eta index 1,eta index 2,centrality index,bin width,# Particles,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,0,0,0,5.32635e+08,2.2672,2.2672,5.12354,0,inf,1
0,0,0,1,5.32635e+08,2.2672,2.2672,5.12354,0,inf,1
0,0,0,2,5.32635e+08,2.2672,2.2672,5.12354,0,inf,1
0,0,0,3,5.32635e+08,2.2672,2.2672,5.12354,0,inf,1
0,0,0,4,5.32635e+08,2.2672,2.2672,5.12354,0,inf,1
0,0,1,0,2.30814e+07,4.83841,4.83841,6.77767,9.85524e-08,-inf,1
0,0,1,1,4.62964e+07,4.8518,4.8518,6.82271,9.82805e-08,-inf,1
0,0,1,2,6.98308e+07,4.87776,4.87776,6.91447,0,-inf,1
0,0,1,3,9.40092e+07,4.92259,4.92259,7.07923,0,inf,1
0,0,1,4,1.20021e+08,5.02464,5.02464,7.5187,0,inf,1
0,0,2,0,1.80041e+07,3.79416,3.79416,5.32249,0,inf,1
0,0,2,1,3.60077e+07,3.79588,3.79588,5.32647,0,-inf,1
0,0,2,2,5.4066e+07,3.79864,3.79864,5.3374,0,inf,1
0,0,2,3,7.21676e+07,3.80279,3.80279,5.35559,0,inf,1
0,0,2,4,9.03096e+07,3.80776,3.80776,5.38041,0,inf,1
0,0,3,0,1.50276e+07,3.17468,3.17468,4.45122,0,-inf,1
0,0,3,1,3.00542e+07,3.17523,3.17523,4.45457,0,inf,1
0,0,3,2,4.50963e+07,3.17677,3.17677,4.46211,0,-inf,1
0,0,3,3,6.01847e+07,3.17867,3.17867,4.4714,0,inf,1
0,0,3,4,7.52736e+07,3.18071,3.18071,4.48337,0,inf,1
0,0,4,0,1.26891e+07,2.68485,2.68485,3.7695,0,inf,1
0,0,4,1,2.53774e+07,2.68496,2.68496,3.77054,0,inf,1
0,0,4,2,3.80942e+07,2.68526,2.68526,3.77611,0,-inf,1
0,0,4,3,5.08198e+07,2.68601,2.68601,3.78279,-8.87631e-08,inf,1
0,0,4,4,6.3547e+07,2.68688,2.68688,3.78915,8.87344e-08,-inf,1
0,0,5,0,1.06392e+07,2.25015,2.25015,3.16259,0,-inf,1
0,0,5,1,2.12641e+07,2.24961,2.24961,3.1628,0,inf,1
0,0,5,2,3.19026e+07,2.25014,2.25014,3.16661,0,inf,1
0,0,5,3,4.25371e+07,2.24989,2.24989,3.17161,0,inf,1
0,0,5,4,5.31899e+07,2.25067,2.25067,3.17879,0,inf,1
0,0,6,0,8.69844e+06,1.84265,1.84265,2.59463,0,-inf,1
0,0,6,1,1.74029e+07,1.84308,1.84308,2.59506,0,inf,1
0,0,6,2,2.61149e+07,1.84381,1.84381,2.59764,0,inf,1
0,0,6,3,3.48213e+07,1.84389,1.84389,2.60123,0,inf,1
0,0,6,4,4.35338e+07,1.84421,1.84421,2.60651,0,inf,1
0,0,7,0,6.86056e+06,1.45607,1.45607,2.04339,0,-inf,1
0,0,7,1,1.37307e+07,1.45628,1.45628,2.04686,0,-inf,1
0,0,7,2,2.0594e+07,1.4566,1.4566,2.04945,0,inf,1
0,0,7,3,2.74593e+07,1.45681,1.45681,2.05331,0,-inf,1
0,0,7,4,3.43272e+07,1.45727,1.45727,2.0578,0,-inf,1
0,0,8,0,5.0955e+06,1.08621,1.08621,1.50866,0,inf,1
0,0,8,1,1.01944e+07,1.08618,1.08618,1.51058,0,inf,1
0,0,8,2,1.52993e+07,1.08668,1.08668,1.5137,0,inf,1
0,0,8,3,2.04008e+07,1.08703,1.08703,1.51729,0,-inf,1
0,0,8,4,2.55007e+07,1.08723,1.08723,1.5214,0,-inf,1
0,1,0,0,5.32635e+08,2.2672,2.30428,4.04259,0.504484,0.626581,0.778065
0,1,0,1,5.32635e+08,2.2672,2.30428,4.04259,0.504484,0.626581,0.778065
0,1,0,2,5.32635e+08,2.2672,2.30428,4.04259,0.504484,0.626581,0.778065
0,1,0,3,5.32635e+08,2.2672,2.30428,4.04259,0.504484,0.626581,0.778065
0,1,0,4,5.32635e+08,2.2672,2.30428,4.04259,0.504484,0.626581,0.778065
0,1,1,0,2.30814e+07,4.83841,4.94257,4.36916,0.505081,1.61903,0.638884
0,1,1,1,4.62964e+07,4.8518,4.95755,4.40929,0.505484,1.5678,0.640139
0,1,1,2,6.98308e+07,4.87776,4.98481,4.48875,0.505627,1.57101,0.642937
0,1,1,3,9.40092e+07,4.92259,5.03116,4.63379,0.505655,1.56564,0.648095
0,1,1,4,1.20021e+08,5.02464,5.137,5.03304,0.505714,1.50126,0.662067
0,1,2,0,1.80041e+07,3.79416,3.86731,3.4365,0.505034,1.47509,0.639839
0,1,2,1,3.60077e+07,3.79588,3.86885,3.44114,0.504716,1.46524,0.640197
0,1,2,2,5.4066e+07,3.79864,3.87136,3.45197,0.50469,1.43324,0.640773
0,1,2,3,7.21676e+07,3.80279,3.8753,3.46824,0.504592,1.44318,0.641656
0,1,2,4,9.03096e+07,3.80776,3.88051,3.49009,0.504644,1.4624,0.642771
0,1,3,0,1.50276e+07,3.17468,3.2297,2.87165,0.505048,1.434,0.639746
0,1,3,1,3.00542e+07,3.17523,3.23057,2.87545,0.504822,1.44095,0.640103
0,1,3,2,4.50963e+07,3.17677,3.23184,2.88263,0.504834,1.42317,0.64057
0,1,3,3,6.01847e+07,3.17867,3.23333,2.89138,0.504824,1.40671,0.641149
0,1,3,4,7.52736e+07,3.18071,3.23548,2.90241,0.504832,1.41014,0.641871
0,1,4,0,1.26891e+07,2.68485,2.72736,2.43579,0.504195,1.36374,0.640984
0,1,4,1,2.53774e+07,2.68496,2.72754,2.43638,0.504406,1.3581,0.64093
