eta index 1,eta index 2,centrality index,bin width,# Particles,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,0,0,0,4.23078e+08,2.285,2.285,5.17641,0,-inf,1
0,0,0,1,4.23078e+08,2.285,2.285,5.17641,0,-inf,1
0,0,0,2,4.23078e+08,2.285,2.285,5.17641,0,-inf,1
0,0,0,3,4.23078e+08,2.285,2.285,5.17641,0,-inf,1
0,0,0,4,4.23078e+08,2.285,2.285,5.17641,0,-inf,1
0,0,1,0,1.83283e+07,4.8859,4.8859,6.8053,-9.75946e-08,inf,1
0,0,1,1,3.67586e+07,4.89888,4.89888,6.84999,0,inf,1
0,0,1,2,5.54348e+07,4.92469,4.92469,6.94182,0,inf,1
0,0,1,3,7.46114e+07,4.96969,4.96969,7.10724,-9.5949e-08,inf,1
0,0,1,4,9.52316e+07,5.07245,5.07245,7.55044,0,inf,1
0,0,2,0,1.43044e+07,3.82796,3.82796,5.34876,0,-inf,1
0,0,2,1,2.86117e+07,3.83003,3.83003,5.3532,0,-inf,1
0,0,2,2,4.29584e+07,3.83305,3.83305,5.36559,0,-inf,1
0,0,2,3,5.73348e+07,3.83711,3.83711,5.38337,0,inf,1
0,0,2,4,7.17443e+07,3.8421,3.8421,5.40793,0,-inf,1
0,0,3,0,1.19458e+07,3.20304,3.20304,4.48036,0,inf,1
0,0,3,1,2.38868e+07,3.20339,3.20339,4.4814,0,inf,1
0,0,3,2,3.58453e+07,3.20491,3.20491,4.48911,0,-inf,1
0,0,3,3,4.78344e+07,3.20673,3.20673,4.49857,0,inf,1
0,0,3,4,5.98266e+07,3.20865,3.20865,4.51064,0,-inf,1
0,0,4,0,1.00838e+07,2.70763,2.70763,3.79628,0,inf,1
0,0,4,1,2.01658e+07,2.70743,2.70743,3.79508,0,-inf,1
0,0,4,2,3.02679e+07,2.70792,2.70792,3.80036,-8.80449e-08,inf,1
0,0,4,3,4.03758e+07,2.70866,2.70866,3.8071,0,inf,1
0,0,4,4,5.04874e+07,2.70948,2.70948,3.81344,-8.79941e-08,inf,1
0,0,5,0,8.45771e+06,2.26947,2.26947,3.18626,0,inf,1
0,0,5,1,1.69002e+07,2.26861,2.26861,3.18646,0,-inf,1
0,0,5,2,2.53534e+07,2.26893,2.26893,3.18961,0,inf,1
0,0,5,3,3.38061e+07,2.26873,2.26873,3.19438,0,inf,1
0,0,5,4,4.22711e+07,2.26949,2.26949,3.20169,0,-inf,1
0,0,6,0,6.91471e+06,1.85745,1.85745,2.61388,0,-inf,1
0,0,6,1,1.383e+07,1.85779,1.85779,2.61389,0,inf,1
0,0,6,2,2.07496e+07,1.85831,1.85831,2.61664,0,-inf,1
0,0,6,3,2.7666e+07,1.85844,1.85844,2.62052,0,-inf,1
0,0,6,4,3.45896e+07,1.85885,1.85885,2.62568,0,-inf,1
0,0,7,0,5.45108e+06,1.46751,1.46751,2.06053,0,inf,1
0,0,7,1,1.09081e+07,1.46751,1.46751,2.06296,0,-inf,1
0,0,7,2,1.63617e+07,1.46787,1.46787,2.06505,0,-inf,1
0,0,7,3,2.18147e+07,1.46804,1.46804,2.06888,0,inf,1
0,0,7,4,2.72735e+07,1.46857,1.46857,2.07361,0,-inf,1
0,0,8,0,4.05068e+06,1.09462,1.09462,1.52098,0,-inf,1
0,0,8,1,8.10041e+06,1.09447,1.09447,1.52291,0,inf,1
0,0,8,2,1.21555e+07,1.09474,1.09474,1.52577,0,-inf,1
0,0,8,3,1.62062e+07,1.09496,1.09496,1.52894,0,inf,1
