eta index 1,eta index 2,centrality index,bin width,# Particles,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,0,0,0,5.53372e+08,2.26321,2.26321,5.11016,0,-inf,1
0,0,0,1,5.53372e+08,2.26321,2.26321,5.11016,0,-inf,1
0,0,0,2,5.53372e+08,2.26321,2.26321,5.11016,0,-inf,1
0,0,0,3,5.53372e+08,2.26321,2.26321,5.11016,0,-inf,1
0,0,0,4,5.53372e+08,2.26321,2.26321,5.11016,0,-inf,1
0,0,1,0,2.385e+07,4.83899,4.83899,6.77853,-9.85407e-08,inf,1
0,0,1,1,4.78388e+07,4.85275,4.85275,6.82356,0,inf,1
0,0,1,2,7.21418e+07,4.87881,4.87881,6.91571,0,inf,1
0,0,1,3,9.70684e+07,4.9232,4.9232,7.0796,0,inf,1
0,0,1,4,1.23746e+08,5.02314,5.02314,7.51412,0,inf,1
0,0,2,0,1.8705e+07,3.79393,3.79393,5.31843,0,inf,1
0,0,2,1,3.74174e+07,3.79601,3.79601,5.32524,0,inf,1
0,0,2,2,5.61779e+07,3.79875,3.79875,5.33627,0,inf,1
0,0,2,3,7.49807e+07,3.80293,3.80293,5.35491,0,inf,1
0,0,2,4,9.38174e+07,3.80786,3.80786,5.37987,0,inf,1
0,0,3,0,1.56513e+07,3.17494,3.17494,4.45092,0,inf,1
0,0,3,1,3.12995e+07,3.17577,3.17577,4.45577,0,inf,1
0,0,3,2,4.69597e+07,3.17708,3.17708,4.46284,0,inf,1
0,0,3,3,6.26665e+07,3.17896,3.17896,4.47172,0,-inf,1
0,0,3,4,7.83647e+07,3.18086,3.18086,4.48351,0,-inf,1
0,0,4,0,1.32218e+07,2.68435,2.68435,3.7681,0,inf,1
0,0,4,1,2.6446e+07,2.6846,2.6846,3.77003,0,inf,1
0,0,4,2,3.9693e+07,2.68495,2.68495,3.77513,0,inf,1
0,0,4,3,5.29521e+07,2.68588,2.68588,3.78234,0,inf,1
0,0,4,4,6.62125e+07,2.68676,2.68676,3.78911,8.87382e-08,-inf,1
0,0,5,0,1.1092e+07,2.25058,2.25058,3.1626,0,-inf,1
0,0,5,1,2.21713e+07,2.25001,2.25001,3.16341,0,-inf,1
