eta index 1,eta index 2,centrality index,bin width,# Particles,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,0,0,0,5.52576e+08,2.26248,2.26248,5.10779,2.10759e-07,-inf,1
0,0,0,1,5.52576e+08,2.26248,2.26248,5.10779,2.10759e-07,-inf,1
0,0,0,2,5.52576e+08,2.26248,2.26248,5.10779,2.10759e-07,-inf,1
0,0,0,3,5.52576e+08,2.26248,2.26248,5.10779,2.10759e-07,-inf,1
0,0,0,4,5.52576e+08,2.26248,2.26248,5.10779,2.10759e-07,-inf,1
0,0,1,0,2.38004e+07,4.83841,4.83841,6.7771,0,-inf,1
0,0,1,1,4.77389e+07,4.85218,4.85218,6.82221,0,-inf,1
0,0,1,2,7.1989e+07,4.87816,4.87816,6.91407,0,-inf,1
0,0,1,3,9.68594e+07,4.92251,4.92251,7.07799,0,inf,1
0,0,1,4,1.23464e+08,5.0222,5.0222,7.51152,0,inf,1
0,0,2,0,1.86752e+07,3.79364,3.79364,5.31789,0,inf,1
0,0,2,1,3.73582e+07,3.79574,3.79574,5.3246,0,inf,1
0,0,2,2,5.60892e+07,3.79849,3.79849,5.33557,0,-inf,1
0,0,2,3,7.48629e+07,3.80266,3.80266,5.35431,0,-inf,1
0,0,2,4,9.36698e+07,3.80759,3.80759,5.37923,0,-inf,1
0,0,3,0,1.56302e+07,3.17478,3.17478,4.45073,0,inf,1
0,0,3,1,3.12577e+07,3.1756,3.1756,4.45547,0,-inf,1
0,0,3,2,4.68969e+07,3.17692,3.17692,4.46253,0,inf,1
0,0,3,3,6.2583e+07,3.17881,3.17881,4.4714,0,-inf,1
0,0,3,4,7.826e+07,3.1807,3.1807,4.48315,0,-inf,1
0,0,4,0,1.32059e+07,2.68428,2.68428,3.76782,0,inf,1
0,0,4,1,2.64146e+07,2.68452,2.68452,3.76975,0,inf,1
0,0,4,2,3.96458e+07,2.68489,2.68489,3.77491,0,inf,1
0,0,4,3,5.28895e+07,2.68582,2.68582,3.78213,0,-inf,1
0,0,4,4,6.61335e+07,2.6867,2.6867,3.78886,0,inf,1
0,0,5,0,1.108e+07,2.2506,2.2506,3.16231,0,-inf,1
0,0,5,1,2.21476e+07,2.25004,2.25004,3.16321,0,-inf,1
0,0,5,2,3.32262e+07,2.2505,2.2505,3.16705,0,-inf,1
0,0,5,3,4.42979e+07,2.25025,2.25025,3.17159,0,inf,1
0,0,5,4,5.53889e+07,2.2509,2.2509,3.17823,0,-inf,1
0,0,6,0,9.0597e+06,1.84281,1.84281,2.59432,0,inf,1
0,0,6,1,1.8125e+07,1.84315,1.84315,2.59494,0,inf,1
0,0,6,2,2.7203e+07,1.84409,1.84409,2.59823,0,-inf,1
0,0,6,3,3.62721e+07,1.84418,1.84418,2.60158,0,inf,1
0,0,6,4,4.53493e+07,1.84441,1.84441,2.60662,0,-inf,1
0,0,7,0,7.15002e+06,1.45654,1.45654,2.04373,0,inf,1
0,0,7,1,1.43068e+07,1.45663,1.45663,2.04623,0,-inf,1
0,0,7,2,2.14554e+07,1.45672,1.45672,2.04862,0,-inf,1
0,0,7,3,2.86071e+07,1.45696,1.45696,2.05258,0,-inf,1
0,0,7,4,3.57583e+07,1.45727,1.45727,2.05691,0,inf,1
0,0,8,0,5.30483e+06,1.08564,1.08564,1.50753,0,-inf,1
0,0,8,1,1.06159e+07,1.08596,1.08596,1.50978,0,inf,1
0,0,8,2,1.59296e+07,1.08645,1.08645,1.51272,0,-inf,1
0,0,8,3,2.12401e+07,1.08673,1.08673,1.51627,0,inf,1
0,0,8,4,2.6551e+07,1.08693,1.08693,1.52033,0,inf,1
0,1,0,0,5.52576e+08,2.26248,2.29908,4.02814,0.504482,0.637878,0.777822
0,1,0,1,5.52576e+08,2.26248,2.29908,4.02814,0.504482,0.637878,0.777822
0,1,0,2,5.52576e+08,2.26248,2.29908,4.02814,0.504482,0.637878,0.777822
0,1,0,3,5.52576e+08,2.26248,2.29908,4.02814,0.504482,0.637878,0.777822
0,1,0,4,5.52576e+08,2.26248,2.29908,4.02814,0.504482,0.637878,0.777822
0,1,1,0,2.38004e+07,4.83841,4.94176,4.36659,0.505143,1.64646,0.63874
0,1,1,1,4.77389e+07,4.85218,4.95698,4.40833,0.505452,1.56874,0.640107
0,1,1,2,7.1989e+07,4.87816,4.98406,4.48829,0.505494,1.57195,0.642981
0,1,1,3,9.68594e+07,4.92251,5.02976,4.63302,0.505527,1.55932,0.648147
0,1,1,4,1.23464e+08,5.0222,5.13308,5.02673,0.505608,1.50307,0.661972
0,1,2,0,1.86752e+07,3.79364,3.86665,3.43273,0.505005,1.45877,0.639634
0,1,2,1,3.73582e+07,3.79574,3.86804,3.43941,0.504768,1.44919,0.640084
0,1,2,2,5.60892e+07,3.79849,3.87044,3.44969,0.504717,1.43507,0.640639
0,1,2,3,7.48629e+07,3.80266,3.87446,3.4664,0.504668,1.44323,0.641528
0,1,2,4,9.36698e+07,3.80759,3.8796,3.48824,0.504734,1.46474,0.642641
0,1,3,0,1.56302e+07,3.17478,3.2296,2.87079,0.505006,1.44694,0.639696
0,1,3,1,3.12577e+07,3.1756,3.23029,2.87549,0.50486,1.45083,0.640085
0,1,3,2,4.68969e+07,3.17692,3.23134,2.88225,0.504825,1.44062,0.640556
0,1,3,3,6.2583e+07,3.17881,3.23286,2.89074,0.504779,1.4231,0.641131
0,1,3,4,7.826e+07,3.1807,3.23496,2.90167,0.504795,1.42526,0.641848
0,1,4,0,1.32059e+07,2.68428,2.72677,2.43324,0.504418,1.38836,0.64069
0,1,4,1,2.64146e+07,2.68452,2.7269,2.43554,0.504514,1.3519,0.640847
0,1,4,2,3.96458e+07,2.68489,2.72761,2.44067,0.504402,1.37009,0.641337
0,1,4,3,5.28895e+07,2.68582,2.72817,2.44724,0.504336,1.38348,0.641922
0,1,4,4,6.61335e+07,2.6867,2.72877,2.45393,0.50433,1.36296,0.642488
0,1,5,0,1.108e+07,2.2506,2.28086,2.04241,0.503888,1.37092,0.641457
0,1,5,1,2.21476e+07,2.25004,2.28116,2.04396,0.503864,1.37856,0.641656
0,1,5,2,3.32262e+07,2.2505,2.28153,2.0474,0.503894,1.38458,0.641987
0,1,5,3,4.42979e+07,2.25025,2.28113,2.05195,0.503988,1.37888,0.642487
0,1,5,4,5.53889e+07,2.2509,2.28174,2.05795,0.504029,1.39673,0.643076
0,1,6,0,9.0597e+06,1.84281,1.86578,1.67648,0.503892,1.377,0.642133
0,1,6,1,1.8125e+07,1.84315,1.86602,1.67725,0.503948,1.33644,0.642177
0,1,6,2,2.7203e+07,1.84409,1.867,1.68018,0.503955,1.32877,0.642456
0,1,6,3,3.62721e+07,1.84418,1.86728,1.68384,0.503931,1.31296,0.642944
0,1,6,4,4.53493e+07,1.84441,1.86743,1.68901,0.503774,1.31845,0.643695
0,1,7,0,7.15002e+06,1.45654,1.47238,1.31841,0.503296,1.32418,0.641426
0,1,7,1,1.43068e+07,1.45663,1.47208,1.32003,0.503539,1.36422,0.641614
0,1,7,2,2.14554e+07,1.45672,1.47199,1.32257,0.503487,1.34079,0.642078
0,1,7,3,2.86071e+07,1.45696,1.4722,1.32648,0.503367,1.35818,0.642775
0,1,7,4,3.57583e+07,1.45727,1.47278,1.33073,0.503383,1.36648,0.643433
0,1,8,0,5.30483e+06,1.08564,1.0962,0.966718,0.502696,1.33889,0.638055
0,1,8,1,1.06159e+07,1.08596,1.09597,0.968427,0.502782,1.34915,0.638412
0,1,8,2,1.59296e+07,1.08645,1.09636,0.970994,0.502886,1.34561,0.638882
0,1,8,3,2.12401e+07,1.08673,1.09643,0.974212,0.502844,1.38071,0.639627
0,1,8,4,2.6551e+07,1.08693,1.09675,0.978074,0.503081,1.36683,0.640375
0,2,0,0,5.52576e+08,2.26248,2.32287,2.89942,1.01741,0.401065,0.554171
0,2,0,1,5.52576e+08,2.26248,2.32287,2.89942,1.01741,0.401065,0.554171
0,2,0,2,5.52576e+08,2.26248,2.32287,2.89942,1.01741,0.401065,0.554171
0,2,0,3,5.52576e+08,2.26248,2.32287,2.89942,1.01741,0.401065,0.554171
0,2,0,4,5.52576e+08,2.26248,2.32287,2.89942,1.01741,0.401065,0.554171
0,2,1,0,2.38004e+07,4.83841,5.0168,1.86679,1.02026,1.48808,0.270825
0,2,1,1,4.77389e+07,4.85218,5.03284,1.90273,1.0204,1.44064,0.273977
0,2,1,2,7.1989e+07,4.87816,5.05992,1.97004,1.02049,1.43899,0.279847
0,2,1,3,9.68594e+07,4.92251,5.10745,2.09536,1.02051,1.41355,0.290538
0,2,1,4,1.23464e+08,5.0222,5.21385,2.44569,1.02068,1.34203,0.318927
0,2,2,0,1.86752e+07,3.79364,3.91526,1.47423,1.01928,1.40365,0.272888
0,2,2,1,3.73582e+07,3.79574,3.9167,1.48234,1.0186,1.38865,0.274018
0,2,2,2,5.60892e+07,3.79849,3.92,1.4926,1.01826,1.3819,0.275303
0,2,2,3,7.48629e+07,3.80266,3.92428,1.50681,1.01846,1.38085,0.276939
0,2,2,4,9.36698e+07,3.80759,3.92977,1.5266,1.01863,1.38311,0.279254
0,2,3,0,1.56302e+07,3.17478,3.26875,1.2405,1.01733,1.37021,0.27459
0,2,3,1,3.12577e+07,3.1756,3.26794,1.24511,1.01699,1.37365,0.275395
0,2,3,2,4.68969e+07,3.17692,3.26862,1.24926,1.01754,1.36914,0.275888
0,2,3,3,6.2583e+07,3.17881,3.26991,1.25665,1.01742,1.369,0.276993
0,2,3,4,7.826e+07,3.1807,3.27177,1.26579,1.01762,1.3755,0.278291
0,2,4,0,1.32059e+07,2.68428,2.75393,1.05193,1.01649,1.42711,0.275694
0,2,4,1,2.64146e+07,2.68452,2.75365,1.05627,1.01643,1.35358,0.276527
0,2,4,2,3.96458e+07,2.68489,2.75447,1.06021,1.0168,1.35549,0.277158
0,2,4,3,5.28895e+07,2.68582,2.75483,1.06546,1.01713,1.35978,0.278034
0,2,4,4,6.61335e+07,2.6867,2.75539,1.07288,1.01684,1.33836,0.279434
0,2,5,0,1.108e+07,2.2506,2.30079,0.887265,1.01681,1.25975,0.277178
0,2,5,1,2.21476e+07,2.25004,2.30062,0.889259,1.01647,1.2758,0.277729
0,2,5,2,3.32262e+07,2.2505,2.30091,0.891531,1.01669,1.30036,0.278165
0,2,5,3,4.42979e+07,2.25025,2.30074,0.896912,1.01656,1.294,0.279418
0,2,5,4,5.53889e+07,2.2509,2.30094,0.902082,1.01665,1.31807,0.280521
0,2,6,0,9.0597e+06,1.84281,1.87838,0.730731,1.01559,1.35259,0.278881
0,2,6,1,1.8125e+07,1.84315,1.87854,0.732328,1.01499,1.33983,0.279412
0,2,6,2,2.7203e+07,1.84409,1.87949,0.734608,1.01517,1.32588,0.2799
0,2,6,3,3.62721e+07,1.84418,1.87984,0.738118,1.01528,1.30773,0.280817
0,2,6,4,4.53493e+07,1.84441,1.87997,0.743166,1.01519,1.30599,0.282192
0,2,7,0,7.15002e+06,1.45654,1.48018,0.572429,1.0137,1.35346,0.277765
0,2,7,1,1.43068e+07,1.45663,1.4797,0.573771,1.01417,1.37802,0.278167
0,2,7,2,2.14554e+07,1.45672,1.47977,0.576196,1.01452,1.32593,0.278936
0,2,7,3,2.86071e+07,1.45696,1.4801,0.579813,1.01434,1.36305,0.280192
0,2,7,4,3.57583e+07,1.45727,1.48054,0.584276,1.01427,1.34088,0.281702
0,2,8,0,5.30483e+06,1.08564,1.09977,0.410362,1.0132,1.36758,0.270427
0,2,8,1,1.06159e+07,1.08596,1.09923,0.412121,1.01335,1.34563,0.271262
0,2,8,2,1.59296e+07,1.08645,1.09939,0.414477,1.01318,1.38075,0.272364
