eta index 1,eta index 2,centrality index,bin width,# Particles,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,0,0,0,4.39832e+08,2.2815,2.2815,5.1638,0,-inf,1
0,0,0,1,4.39832e+08,2.2815,2.2815,5.1638,0,-inf,1
0,0,0,2,4.39832e+08,2.2815,2.2815,5.1638,0,-inf,1
0,0,0,3,4.39832e+08,2.2815,2.2815,5.1638,0,-inf,1
0,0,0,4,4.39832e+08,2.2815,2.2815,5.1638,0,-inf,1
0,0,1,0,1.89706e+07,4.88517,4.88517,6.80243,0,inf,1
0,0,1,1,3.80492e+07,4.89833,4.89833,6.8477,0,-inf,1
0,0,1,2,5.7371e+07,4.92416,4.92416,6.93997,0,inf,1
0,0,1,3,7.71832e+07,4.96856,4.96856,7.10409,-9.59708e-08,inf,1
0,0,1,4,9.83978e+07,5.06934,5.06934,7.54209,0,inf,1
0,0,2,0,1.48699e+07,3.82694,3.82694,5.34283,0,inf,1
0,0,2,1,2.9751e+07,3.82938,3.82938,5.34969,0,-inf,1
0,0,2,2,4.46657e+07,3.83252,3.83252,5.36274,0,inf,1
0,0,2,3,5.96086e+07,3.8366,3.8366,5.38114,0,-inf,1
0,0,2,4,7.45794e+07,3.84159,3.84159,5.40621,0,-inf,1
0,0,3,0,1.24452e+07,3.20294,3.20294,4.47894,0,-inf,1
0,0,3,1,2.48854e+07,3.20364,3.20364,4.48211,0,-inf,1
0,0,3,2,3.73375e+07,3.20486,3.20486,4.48914,0,-inf,1
0,0,3,3,4.98185e+07,3.20654,3.20654,4.49794,0,-inf,1
0,0,3,4,6.23006e+07,3.20834,3.20834,4.51006,0,-inf,1
0,0,4,0,1.05084e+07,2.70696,2.70696,3.79389,8.80761e-08,-inf,1
0,0,4,1,2.10174e+07,2.70691,2.70691,3.79444,0,-inf,1
0,0,4,2,3.1542e+07,2.70745,2.70745,3.79927,0,inf,1
0,0,4,3,4.20762e+07,2.70849,2.70849,3.80664,8.80264e-08,-inf,1
0,0,4,4,5.26114e+07,2.70923,2.70923,3.81306,8.80022e-08,-inf,1
0,0,5,0,8.81843e+06,2.26981,2.26981,3.18584,0,inf,1
0,0,5,1,1.76222e+07,2.26883,2.26883,3.18626,0,inf,1
0,0,5,2,2.64356e+07,2.26918,2.26918,3.18993,0,inf,1
0,0,5,3,3.52455e+07,2.26898,2.26898,3.19446,-1.05078e-07,inf,1
