eta index 1,eta index 2,centrality index,bin width,# Particles,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,0,0,0,4.39194e+08,2.28075,2.28075,5.16136,0,-inf,1
0,0,0,1,4.39194e+08,2.28075,2.28075,5.16136,0,-inf,1
0,0,0,2,4.39194e+08,2.28075,2.28075,5.16136,0,-inf,1
0,0,0,3,4.39194e+08,2.28075,2.28075,5.16136,0,-inf,1
0,0,0,4,4.39194e+08,2.28075,2.28075,5.16136,0,-inf,1
0,0,1,0,1.89307e+07,4.8846,4.8846,6.801,-9.76206e-08,inf,1
0,0,1,1,3.79689e+07,4.89775,4.89775,6.84628,0,inf,1
0,0,1,2,5.7248e+07,4.92349,4.92349,6.93826,0,inf,1
0,0,1,3,7.70153e+07,4.96786,4.96786,7.10247,0,inf,1
0,0,1,4,9.8171e+07,5.06836,5.06836,7.53945,0,-inf,1
0,0,2,0,1.4846e+07,3.82668,3.82668,5.34226,0,inf,1
0,0,2,1,2.97034e+07,3.82912,3.82912,5.34905,0,inf,1
0,0,2,2,4.45943e+07,3.83225,3.83225,5.36201,0,-inf,1
0,0,2,3,5.95138e+07,3.83632,3.83632,5.3805,0,-inf,1
0,0,2,4,7.44608e+07,3.84129,3.84129,5.40554,0,inf,1
0,0,3,0,1.24285e+07,3.20278,3.20278,4.47884,0,-inf,1
0,0,3,1,2.48521e+07,3.20346,3.20346,4.48186,0,-inf,1
0,0,3,2,3.72874e+07,3.20469,3.20469,4.48885,0,-inf,1
0,0,3,3,4.97518e+07,3.20638,3.20638,4.49763,0,inf,1
0,0,3,4,6.22172e+07,3.20818,3.20818,4.5097,0,inf,1
0,0,4,0,1.04957e+07,2.7069,2.7069,3.79358,0,inf,1
0,0,4,1,2.09925e+07,2.70685,2.70685,3.79416,0,inf,1
0,0,4,2,3.15045e+07,2.70739,2.70739,3.79903,0,inf,1
0,0,4,3,4.20264e+07,2.70844,2.70844,3.80642,0,-inf,1
0,0,4,4,5.25486e+07,2.70917,2.70917,3.8128,0,-inf,1
0,0,5,0,8.80886e+06,2.26983,2.26983,3.18558,0,inf,1
0,0,5,1,1.76033e+07,2.26887,2.26887,3.1861,1.05082e-07,-inf,1
0,0,5,2,2.64071e+07,2.2692,2.2692,3.18978,0,inf,1
0,0,5,3,3.52076e+07,2.269,2.269,3.19432,0,inf,1
0,0,5,4,4.4021e+07,2.26959,2.26959,3.20108,0,inf,1
0,0,6,0,7.20052e+06,1.85736,1.85736,2.61264,0,-inf,1
0,0,6,1,1.44029e+07,1.85768,1.85768,2.61345,0,inf,1
0,0,6,2,2.16142e+07,1.85849,1.85849,2.61727,0,-inf,1
