eta index 1,eta index 2,centrality index,bin width,# Particles,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,0,0,0,5.53372e+08,2.26321,2.26321,5.11016,0,-inf,1
0,0,0,1,5.53372e+08,2.26321,2.26321,5.11016,0,-inf,1
0,0,0,2,5.53372e+08,2.26321,2.26321,5.11016,0,-inf,1
0,0,0,3,5.53372e+08,2.26321,2.26321,5.11016,0,-inf,1
0,0,0,4,5.53372e+08,2.26321,2.26321,5.11016,0,-inf,1
0,0,1,0,1.80824e+07,3.66985,3.66985,6.66649,0,-inf,1
0,0,1,1,3.61843e+07,3.67191,3.67191,6.66936,0,inf,1
0,0,1,2,5.43063e+07,3.6747,3.6747,6.6746,0,-inf,1
0,0,1,3,7.24945e+07,3.67952,3.67952,6.68726,0,-inf,1
0,0,1,4,9.07865e+07,3.68886,3.68886,6.70425,0,inf,1
0,0,2,0,1.67381e+07,3.39692,3.39692,6.25879,0,inf,1
0,0,2,1,3.34764e+07,3.39745,3.39745,6.25747,0,-inf,1
0,0,2,2,5.02316e+07,3.3978,3.3978,6.257,0,inf,1
0,0,2,3,6.69682e+07,3.39823,3.39823,6.25847,0,inf,1
0,0,2,4,8.37154e+07,3.39825,3.39825,6.25959,0,-inf,1
0,0,3,0,1.54956e+07,3.14489,3.14489,5.84997,0,-inf,1
0,0,3,1,3.09757e+07,3.14398,3.14398,5.84461,0,inf,1
0,0,3,2,4.64422e+07,3.14373,3.14373,5.84718,0,inf,1
0,0,3,3,6.1932e+07,3.14356,3.14356,5.85027,0,inf,1
0,0,3,4,7.74026e+07,3.14324,3.14324,5.85255,0,-inf,1
0,0,4,0,1.39836e+07,2.84168,2.84168,5.33639,0,-inf,1
0,0,4,1,2.79714e+07,2.84182,2.84182,5.33524,0,-inf,1
0,0,4,2,4.19618e+07,2.8414,2.8414,5.33507,0,inf,1
0,0,4,3,5.59274e+07,2.84053,2.84053,5.33564,0,inf,1
0,0,4,4,6.98782e+07,2.83967,2.83967,5.3366,0,inf,1
0,0,5,0,1.22022e+07,2.47967,2.47967,4.67965,0,inf,1
0,0,5,1,2.43869e+07,2.47992,2.47992,4.68345,0,-inf,1
