eta index 1,eta index 2,centrality index,bin width,# Particles,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,0,0,0,5.52576e+08,2.26248,2.26248,5.10779,2.10759e-07,-inf,1
0,0,0,1,5.52576e+08,2.26248,2.26248,5.10779,2.10759e-07,-inf,1
0,0,0,2,5.52576e+08,2.26248,2.26248,5.10779,2.10759e-07,-inf,1
0,0,0,3,5.52576e+08,2.26248,2.26248,5.10779,2.10759e-07,-inf,1
0,0,0,4,5.52576e+08,2.26248,2.26248,5.10779,2.10759e-07,-inf,1
0,0,1,0,1.80504e+07,3.66895,3.66895,6.66348,0,-inf,1
0,0,1,1,3.61194e+07,3.67097,3.67097,6.66616,0,-inf,1
0,0,1,2,5.42089e+07,3.67378,3.67378,6.67147,0,inf,1
0,0,1,3,7.23648e+07,3.6786,3.6786,6.68415,0,-inf,1
0,0,1,4,9.06237e+07,3.68794,3.68794,6.70122,0,inf,1
0,0,2,0,1.67102e+07,3.39616,3.39616,6.25627,0,inf,1
0,0,2,1,3.34205e+07,3.39669,3.39669,6.25504,0,inf,1
0,0,2,2,5.01478e+07,3.39705,3.39705,6.25463,0,-inf,1
0,0,2,3,6.68569e+07,3.39747,3.39747,6.25597,0,inf,1
0,0,2,4,8.35762e+07,3.39748,3.39748,6.25705,0,inf,1
0,0,3,0,1.54713e+07,3.14419,3.14419,5.84761,0,-inf,1
0,0,3,1,3.09275e+07,3.14334,3.14334,5.84242,0,inf,1
0,0,3,2,4.63698e+07,3.14306,3.14306,5.8448,0,-inf,1
0,0,3,3,6.18354e+07,3.14289,3.14289,5.84797,0,inf,1
0,0,3,4,7.72809e+07,3.14255,3.14255,5.85021,0,-inf,1
0,0,4,0,1.39632e+07,2.84112,2.84112,5.33471,0,inf,1
0,0,4,1,2.79312e+07,2.84129,2.84129,5.33356,0,-inf,1
0,0,4,2,4.19014e+07,2.84087,2.84087,5.33334,0,-inf,1
0,0,4,3,5.58471e+07,2.84001,2.84001,5.33394,0,inf,1
0,0,4,4,6.97777e+07,2.83914,2.83914,5.33484,0,inf,1
0,0,5,0,1.21861e+07,2.47928,2.47928,4.67833,0,inf,1
0,0,5,1,2.43544e+07,2.47951,2.47951,4.68205,0,-inf,1
0,0,5,2,3.65397e+07,2.47982,2.47982,4.68405,0,inf,1
0,0,5,3,4.86988e+07,2.47931,2.47931,4.68638,0,inf,1
0,0,5,4,6.08649e+07,2.47915,2.47915,4.69042,0,inf,1
0,0,6,0,1.02505e+07,2.09056,2.09056,3.95151,0,-inf,1
0,0,6,1,2.04997e+07,2.09032,2.09032,3.95387,0,inf,1
0,0,6,2,3.07322e+07,2.09066,2.09066,3.95848,0,inf,1
0,0,6,3,4.09701e+07,2.09017,2.09017,3.96154,0,inf,1
0,0,6,4,5.1201e+07,2.08962,2.08962,3.96384,0,-inf,1
0,0,7,0,8.3179e+06,1.70264,1.70264,3.20249,0,-inf,1
0,0,7,1,1.664e+07,1.70263,1.70263,3.20454,0,inf,1
0,0,7,2,2.49685e+07,1.70311,1.70311,3.20809,0,-inf,1
0,0,7,3,3.33003e+07,1.70388,1.70388,3.21182,0,-inf,1
0,0,7,4,4.16313e+07,1.70439,1.70439,3.21582,0,inf,1
0,0,8,0,6.55277e+06,1.34861,1.34861,2.48135,0,-inf,1
0,0,8,1,1.31232e+07,1.34954,1.34954,2.4852,0,inf,1
0,0,8,2,1.96945e+07,1.3501,1.3501,2.48692,0,-inf,1
0,0,8,3,2.62848e+07,1.35101,1.35101,2.49088,0,-inf,1
0,0,8,4,3.28771e+07,1.35222,1.35222,2.49658,0,inf,1
0,1,0,0,5.52576e+08,2.26248,2.29908,4.02814,0.504482,0.637878,0.777822
0,1,0,1,5.52576e+08,2.26248,2.29908,4.02814,0.504482,0.637878,0.777822
0,1,0,2,5.52576e+08,2.26248,2.29908,4.02814,0.504482,0.637878,0.777822
0,1,0,3,5.52576e+08,2.26248,2.29908,4.02814,0.504482,0.637878,0.777822
0,1,0,4,5.52576e+08,2.26248,2.29908,4.02814,0.504482,0.637878,0.777822
0,1,1,0,1.80504e+07,3.66895,3.73839,4.8811,0.505456,1.04979,0.7228
0,1,1,1,3.61194e+07,3.67097,3.74058,4.88447,0.505017,1.05216,0.722999
0,1,1,2,5.42089e+07,3.67378,3.74357,4.88958,0.504907,1.0343,0.723095
0,1,1,3,7.23648e+07,3.6786,3.74826,4.89807,0.504851,1.08888,0.723209
0,1,1,4,9.06237e+07,3.68794,3.75769,4.91099,0.504874,1.07278,0.723221
0,1,2,0,1.67102e+07,3.39616,3.45834,4.60891,0.505096,0.991037,0.726966
0,1,2,1,3.34205e+07,3.39669,3.45952,4.60743,0.50516,1.00498,0.726828
0,1,2,2,5.01478e+07,3.39705,3.45996,4.60742,0.505081,0.99677,0.726835
0,1,2,3,6.68569e+07,3.39747,3.4606,4.60923,0.504999,0.992554,0.726915
0,1,2,4,8.35762e+07,3.39748,3.46073,4.61095,0.504962,0.981066,0.726999
0,1,3,0,1.54713e+07,3.14419,3.20097,4.32185,0.504843,1.04622,0.729619
0,1,3,1,3.09275e+07,3.14334,3.20015,4.31727,0.504973,1.02436,0.729411
0,1,3,2,4.63698e+07,3.14306,3.19985,4.32009,0.504921,1.02091,0.729578
0,1,3,3,6.18354e+07,3.14289,3.19952,4.32284,0.50504,1.02097,0.729673
0,1,3,4,7.72809e+07,3.14255,3.19911,4.325,0.504969,1.03688,0.729823
0,1,4,0,1.39632e+07,2.84112,2.8912,3.95775,0.504564,0.991351,0.732394
0,1,4,1,2.79312e+07,2.84129,2.89036,3.95588,0.504811,0.94164,0.732227
0,1,4,2,4.19014e+07,2.84087,2.88942,3.9551,0.50475,0.95588,0.732259
0,1,4,3,5.58471e+07,2.84001,2.88839,3.95552,0.504745,0.975159,0.732346
0,1,4,4,6.97777e+07,2.83914,2.88766,3.95733,0.504815,0.955799,0.732464
0,1,5,0,1.21861e+07,2.47928,2.51928,3.4758,0.5042,0.894135,0.733925
0,1,5,1,2.43544e+07,2.47951,2.51943,3.47835,0.504307,0.931319,0.734012
0,1,5,2,3.65397e+07,2.47982,2.51957,3.48004,0.504413,0.916135,0.734049
0,1,5,3,4.86988e+07,2.47931,2.51883,3.48242,0.504442,0.911865,0.73422
0,1,5,4,6.08649e+07,2.47915,2.51863,3.4871,0.504521,0.87543,0.734465
0,1,6,0,1.02505e+07,2.09056,2.12122,2.93368,0.503915,0.952285,0.734367
0,1,6,1,2.04997e+07,2.09032,2.12123,2.93749,0.504002,0.874897,0.734596
0,1,6,2,3.07322e+07,2.09066,2.12104,2.94121,0.504068,0.87633,0.73481
0,1,6,3,4.09701e+07,2.09017,2.12078,2.94512,0.504115,0.85133,0.735086
0,1,6,4,5.1201e+07,2.08962,2.12056,2.94855,0.504105,0.827751,0.735351
0,1,7,0,8.3179e+06,1.70264,1.72408,2.37237,0.502893,0.822133,0.733573
0,1,7,1,1.664e+07,1.70263,1.72403,2.3725,0.503379,0.92133,0.733398
0,1,7,2,2.49685e+07,1.70311,1.7249,2.3759,0.50378,0.89554,0.733446
0,1,7,3,3.33003e+07,1.70388,1.7259,2.38032,0.503542,0.861517,0.733801
0,1,7,4,4.16313e+07,1.70439,1.7266,2.38446,0.503672,0.830667,0.73402
0,1,8,0,6.55277e+06,1.34861,1.36529,1.82321,0.503612,0.654274,0.72737
0,1,8,1,1.31232e+07,1.34954,1.36555,1.82497,0.503767,0.727233,0.727414
0,1,8,2,1.96945e+07,1.3501,1.36587,1.82683,0.503809,0.629005,0.727534
0,1,8,3,2.62848e+07,1.35101,1.3672,1.83078,0.503889,0.630202,0.727767
0,1,8,4,3.28771e+07,1.35222,1.36834,1.8355,0.503789,0.688594,0.728146
0,2,0,0,5.52576e+08,2.26248,2.32287,2.89942,1.01741,0.401065,0.554171
0,2,0,1,5.52576e+08,2.26248,2.32287,2.89942,1.01741,0.401065,0.554171
0,2,0,2,5.52576e+08,2.26248,2.32287,2.89942,1.01741,0.401065,0.554171
0,2,0,3,5.52576e+08,2.26248,2.32287,2.89942,1.01741,0.401065,0.554171
0,2,0,4,5.52576e+08,2.26248,2.32287,2.89942,1.01741,0.401065,0.554171
0,2,1,0,1.80504e+07,3.66895,3.78736,3.0282,1.01891,0.873145,0.443586
0,2,1,1,3.61194e+07,3.67097,3.78912,3.031,1.01891,0.83156,0.443685
0,2,1,2,5.42089e+07,3.67378,3.79235,3.0335,1.01862,0.855285,0.44376
0,2,1,3,7.23648e+07,3.6786,3.79715,3.03816,1.01879,0.898858,0.443782
0,2,1,4,9.06237e+07,3.68794,3.80694,3.04676,1.01884,0.885043,0.443837
0,2,2,0,1.67102e+07,3.39616,3.50205,2.88759,1.01964,0.885958,0.450887
0,2,2,1,3.34205e+07,3.39669,3.50397,2.88671,1.01963,0.891495,0.450724
0,2,2,2,5.01478e+07,3.39705,3.50377,2.88807,1.01953,0.847999,0.450859
0,2,2,3,6.68569e+07,3.39747,3.5043,2.8909,1.01893,0.852956,0.451213
0,2,2,4,8.35762e+07,3.39748,3.50473,2.89288,1.0187,0.859045,0.451424
0,2,3,0,1.54713e+07,3.14419,3.239,2.72854,1.02028,0.824421,0.455917
0,2,3,1,3.09275e+07,3.14334,3.23846,2.72696,1.01969,0.810319,0.45597
0,2,3,2,4.63698e+07,3.14306,3.23811,2.73089,1.01925,0.813431,0.456458
0,2,3,3,6.18354e+07,3.14289,3.23789,2.73365,1.01931,0.822998,0.456712
0,2,3,4,7.72809e+07,3.14255,3.23716,2.73534,1.01914,0.847098,0.456947
0,2,4,0,1.39632e+07,2.84112,2.92386,2.52099,1.01861,0.796566,0.461972
0,2,4,1,2.79312e+07,2.84129,2.92283,2.51911,1.01862,0.78003,0.46182
0,2,4,2,4.19014e+07,2.84087,2.92209,2.51982,1.01836,0.778191,0.462004
0,2,4,3,5.58471e+07,2.84001,2.92103,2.52119,1.01841,0.773887,0.462208
0,2,4,4,6.97777e+07,2.83914,2.92015,2.52338,1.01829,0.774582,0.46253
0,2,5,0,1.21861e+07,2.47928,2.54414,2.22196,1.01674,0.771383,0.465268
0,2,5,1,2.43544e+07,2.47951,2.54453,2.22603,1.01678,0.757355,0.465683
0,2,5,2,3.65397e+07,2.47982,2.5448,2.22774,1.01711,0.730533,0.465764
0,2,5,3,4.86988e+07,2.47931,2.54398,2.23041,1.01728,0.71598,0.466086
0,2,5,4,6.08649e+07,2.47915,2.54368,2.23513,1.01723,0.703386,0.466648
0,2,6,0,1.02505e+07,2.09056,2.14055,1.8823,1.01527,0.633931,0.467058
0,2,6,1,2.04997e+07,2.09032,2.14052,1.88487,1.01533,0.641413,0.467397
0,2,6,2,3.07322e+07,2.09066,2.13991,1.88651,1.01587,0.664834,0.467499
0,2,6,3,4.09701e+07,2.09017,2.13975,1.89031,1.01618,0.646061,0.46796
0,2,6,4,5.1201e+07,2.08962,2.13988,1.89447,1.01613,0.631316,0.468546
0,2,7,0,8.3179e+06,1.70264,1.73658,1.50971,1.0158,0.58024,0.463603
0,2,7,1,1.664e+07,1.70263,1.7366,1.51034,1.01577,0.670742,0.463713
0,2,7,2,2.49685e+07,1.70311,1.73744,1.51332,1.01579,0.698859,0.464103
0,2,7,3,3.33003e+07,1.70388,1.73842,1.51764,1.01526,0.687479,0.464814
0,2,7,4,4.16313e+07,1.70439,1.73933,1.52201,1.0153,0.659849,0.465418
0,2,8,0,6.55277e+06,1.34861,1.37435,1.14235,1.01399,0.453811,0.452797
0,2,8,1,1.31232e+07,1.34954,1.37404,1.14286,1.01447,0.486823,0.452735
0,2,8,2,1.96945e+07,1.3501,1.37468,1.14507,1.01414,0.444948,0.453182
