eta index 1,eta index 2,centrality index,bin width,# Particles,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,0,0,0,4.39194e+08,2.28075,2.28075,5.16136,0,-inf,1
0,0,0,1,4.39194e+08,2.28075,2.28075,5.16136,0,-inf,1
0,0,0,2,4.39194e+08,2.28075,2.28075,5.16136,0,-inf,1
0,0,0,3,4.39194e+08,2.28075,2.28075,5.16136,0,-inf,1
0,0,0,4,4.39194e+08,2.28075,2.28075,5.16136,0,-inf,1
0,0,1,0,1.44079e+07,3.697,3.697,6.7059,0,inf,1
0,0,1,1,2.88329e+07,3.69913,3.69913,6.71003,0,-inf,1
0,0,1,2,4.32777e+07,3.70176,3.70176,6.71578,0,inf,1
0,0,1,3,5.77861e+07,3.70666,3.70666,6.72955,0,inf,1
0,0,1,4,7.23971e+07,3.7161,3.7161,6.74698,0,inf,1
0,0,2,0,1.32989e+07,3.42284,3.42284,6.30388,0,-inf,1
0,0,2,1,2.65992e+07,3.42402,3.42402,6.30695,0,-inf,1
0,0,2,2,3.99137e+07,3.42401,3.42401,6.30483,0,inf,1
0,0,2,3,5.32171e+07,3.42446,3.42446,6.30528,0,-inf,1
0,0,2,4,6.65153e+07,3.42412,3.42412,6.305,0,-inf,1
0,0,3,0,1.22998e+07,3.1709,3.1709,5.90002,0,-inf,1
0,0,3,1,2.45707e+07,3.16924,3.16924,5.89227,0,inf,1
0,0,3,2,3.68434e+07,3.16856,3.16856,5.89496,0,-inf,1
0,0,3,3,4.91247e+07,3.16843,3.16843,5.89788,0,-inf,1
0,0,3,4,6.14024e+07,3.16802,3.16802,5.89971,0,inf,1
0,0,4,0,1.10758e+07,2.86258,2.86258,5.37803,0,inf,1
0,0,4,1,2.21598e+07,2.86315,2.86315,5.37885,0,inf,1
0,0,4,2,3.32518e+07,2.86288,2.86288,5.37893,0,inf,1
0,0,4,3,4.4317e+07,2.86207,2.86207,5.3796,0,inf,1
0,0,4,4,5.53684e+07,2.86122,2.86122,5.38062,0,inf,1
0,0,5,0,9.66142e+06,2.49795,2.49795,4.71784,0,-inf,1
0,0,5,1,1.93219e+07,2.49841,2.49841,4.72466,0,inf,1
0,0,5,2,2.89863e+07,2.4987,2.4987,4.7273,0,-inf,1
0,0,5,3,3.86315e+07,2.49817,2.49817,4.7294,0,-inf,1
0,0,5,4,4.82859e+07,2.49807,2.49807,4.73402,0,inf,1
0,0,6,0,8.12333e+06,2.10549,2.10549,3.98506,0,inf,1
0,0,6,1,1.62568e+07,2.10552,2.10552,3.98952,0,-inf,1
0,0,6,2,2.43747e+07,2.10622,2.10622,3.99528,0,-inf,1
0,0,6,3,3.25015e+07,2.10603,2.10603,3.99875,0,inf,1
