eta index,centrality index,mean,rms
0,0,2.27185,2.2612
1,0,2.30075,2.28704
2,0,2.32322,2.30691
3,0,2.34683,2.33078
4,0,2.36618,2.35014
5,0,2.37836,2.36293
6,0,2.37666,2.36685
7,0,2.37849,2.37359
8,0,2.39518,2.38905
9,0,2.40528,2.39496
10,0,2.40897,2.39976
11,0,2.41432,2.40847
12,0,2.42761,2.42257
13,0,2.43959,2.43192
14,0,2.4255,2.42387
15,0,2.24372,2.33865
0,10,5.01676,2.70701
1,10,5.1126,2.7266
2,10,5.18409,2.74385
3,10,5.26021,2.7675
4,10,5.32832,2.7881
5,10,5.38063,2.80071
6,10,5.40337,2.80987
7,10,5.43218,2.81947
8,10,5.48613,2.8312
9,10,5.52566,2.82892
10,10,5.55203,2.83529
11,10,5.58804,2.8489
12,10,5.64079,2.86462
13,10,5.68308,2.86344
14,10,5.66266,2.85962
15,10,5.25494,2.90553
0,20,3.82227,2.318
1,20,3.87507,2.33996
2,20,3.92102,2.34638
3,20,3.97732,2.36383
4,20,4.02234,2.38061
5,20,4.05299,2.39188
6,20,4.05403,2.39124
7,20,4.0676,2.39324
8,20,4.1096,2.40543
9,20,4.13071,2.40156
10,20,4.14287,2.40384
11,20,4.15953,2.40624
12,20,4.19436,2.41559
13,20,4.22146,2.42273
14,20,4.2054,2.4178
15,20,3.89349,2.4088
0,30,3.19037,2.11937
1,30,3.23514,2.13629
2,30,3.27596,2.1542
3,30,3.31081,2.16683
4,30,3.33617,2.17592
5,30,3.35892,2.17286
6,30,3.36461,2.1763
7,30,3.36467,2.17694
8,30,3.38996,2.18289
9,30,3.40933,2.18103
10,30,3.41458,2.18105
11,30,3.42279,2.18531
12,30,3.44396,2.19283
13,30,3.4664,2.19546
14,30,3.45141,2.18112
15,30,3.19591,2.16195
0,40,2.69442,1.94544
1,40,2.72768,1.95664
2,40,2.75284,1.96644
3,40,2.77995,1.98201
4,40,2.80139,1.98798
5,40,2.80975,1.99139
6,40,2.81092,1.98834
7,40,2.81889,1.98998
8,40,2.83733,1.99951
9,40,2.84465,1.996
10,40,2.849,1.99467
11,40,2.85212,1.99542
12,40,2.85982,1.99738
13,40,2.87688,1.99723
14,40,2.86168,1.99182
15,40,2.64407,1.95712
0,50,2.25938,1.78854
1,50,2.28021,1.79709
2,50,2.29707,1.79622
3,50,2.32041,1.80938
4,50,2.34103,1.81845
5,50,2.34665,1.8217
6,50,2.33811,1.81685
7,50,2.33629,1.81805
8,50,2.3509,1.82058
9,50,2.35843,1.81948
10,50,2.35681,1.81319
11,50,2.35492,1.81272
12,50,2.36216,1.81349
13,50,2.37348,1.8144
14,50,2.35728,1.80329
15,50,2.17596,1.76321
0,60,1.85029,1.62372
1,60,1.87132,1.63261
2,60,1.88337,1.63672
3,60,1.89018,1.64039
4,60,1.89857,1.64356
5,60,1.90302,1.64128
6,60,1.89527,1.63179
7,60,1.89289,1.63288
8,60,1.89895,1.63671
9,60,1.90385,1.63603
10,60,1.90523,1.63464
11,60,1.90482,1.62879
12,60,1.91374,1.6298
13,60,1.91515,1.6282
14,60,1.89631,1.61309
15,60,1.75308,1.57315
0,70,1.45773,1.43522
1,70,1.46918,1.44181
2,70,1.48011,1.45255
3,70,1.48593,1.45664
4,70,1.48997,1.45592
5,70,1.49339,1.45605
6,70,1.48446,1.44886
7,70,1.47607,1.43853
8,70,1.47972,1.43789
9,70,1.48158,1.43679
10,70,1.47889,1.43037
11,70,1.47795,1.43266
12,70,1.48223,1.43344
13,70,1.48279,1.42958
14,70,1.46943,1.421
15,70,1.35536,1.3743
0,80,1.09425,1.24153
1,80,1.10009,1.24142
2,80,1.10101,1.24082
3,80,1.10438,1.24506
4,80,1.1059,1.24606
5,80,1.10529,1.24465
6,80,1.09686,1.23686
7,80,1.08779,1.22934
8,80,1.091,1.22938
9,80,1.09351,1.22535
10,80,1.09097,1.22409
11,80,1.08909,1.21974
12,80,1.0897,1.21843
13,80,1.09039,1.21842
14,80,1.07876,1.21299
15,80,0.993404,1.16522
0,90,0.734756,1.0008
1,90,0.738052,1.00685
2,90,0.740618,1.00832
3,90,0.742177,1.0085
4,90,0.741642,1.00587
5,90,0.73908,1.00341
6,90,0.730547,0.996485
7,90,0.72426,0.986563
8,90,0.724412,0.988112
9,90,0.722385,0.984243
10,90,0.719469,0.979066
11,90,0.717636,0.978855
12,90,0.715735,0.974371
13,90,0.713856,0.971195
14,90,0.706545,0.961566
15,90,0.649641,0.922515
0,100,0.437997,0.74863
1,100,0.435596,0.743092
2,100,0.43204,0.741808
3,100,0.430907,0.740881
4,100,0.429111,0.738285
5,100,0.425228,0.735185
6,100,0.419517,0.726741
7,100,0.414864,0.724004
8,100,0.413922,0.722739
9,100,0.41189,0.720499
10,100,0.408549,0.713375
11,100,0.404447,0.710083
12,100,0.401241,0.707534
13,100,0.399709,0.704244
14,100,0.393078,0.698312
15,100,0.358803,0.665608
