eta index 1,eta index 2,centrality index,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,0,0,2.27477,2.27477,5.15526,0,-inf,1
0,0,1,5.03622,5.03622,7.55164,0,-inf,1
0,0,2,3.82508,3.82508,5.40813,0,inf,1
0,0,3,3.1913,3.1913,4.50469,0,-inf,1
0,0,4,2.69482,2.69482,3.79024,0,-inf,1
0,0,5,2.25944,2.25944,3.19966,0,inf,1
0,0,6,1.85029,1.85029,2.63647,0,-inf,1
0,0,7,1.45779,1.45779,2.06073,0,-inf,1
0,0,8,1.09425,1.09425,1.5414,1.08941e-07,-inf,1
0,1,0,2.27477,2.30398,4.06162,0.504161,0.384937,0.77871
0,1,1,5.03622,5.13534,5.05439,0.504909,1.57405,0.663145
0,1,2,3.82508,3.87725,3.50998,0.505114,1.02116,0.64342
0,1,3,3.1913,3.23587,2.92206,0.503188,1.27912,0.643766
0,1,4,2.69482,2.72796,2.44455,0.504065,1.54395,0.641415
0,1,5,2.25944,2.28021,2.07699,0.501188,1.39365,0.646119
0,1,6,1.85029,1.87132,1.71047,0.505411,1.47292,0.645242
0,1,7,1.45779,1.46918,1.3269,0.507601,1.23992,0.641091
0,1,8,1.09425,1.10009,0.990437,0.502059,2.85918,0.642616
0,2,0,2.27477,2.32687,2.92796,1.01509,0.377434,0.556276
0,2,1,5.03622,5.21015,2.46763,1.01853,1.45654,0.321108
0,2,2,3.82508,3.92315,1.53924,1.01471,1.55955,0.281407
0,2,3,3.1913,3.27651,1.29513,1.0145,1.15092,0.283047
0,2,4,2.69482,2.75306,1.07216,1.01245,1.44736,0.279954
0,2,5,2.25944,2.29719,0.914192,1.00944,2.07198,0.284461
0,2,6,1.85029,1.88343,0.756078,1.01883,1.54442,0.284457
0,2,7,1.45779,1.48011,0.588732,1.01872,0.636161,0.282343
0,2,8,1.09425,1.10101,0.427868,1.01371,3.06969,0.277743
0,3,0,2.27477,2.3508,2.94055,1.02874,0.204306,0.552757
0,3,1,5.03622,5.28803,2.42928,1.03274,1.34076,0.313109
0,3,2,3.82508,3.97941,1.50414,1.02686,1.49192,0.272984
0,3,3,3.1913,3.31196,1.25981,1.02932,1.13081,0.273499
0,3,4,2.69482,2.78045,1.05449,1.02558,1.13327,0.273053
0,3,5,2.25944,2.32041,0.886964,1.02621,1.61008,0.274046
0,3,6,1.85029,1.8903,0.735417,1.03146,1.44564,0.276016
0,3,7,1.45779,1.48593,0.575926,1.0294,0.67208,0.275426
0,3,8,1.09425,1.10438,0.416787,1.02703,1.94576,0.269628
0,4,0,2.27477,2.37057,2.94098,1.04424,0.124452,0.548036
0,4,1,5.03622,5.35829,2.36426,1.05129,1.28216,0.302128
