eta index,centrality index,mean,rms
0,0,2.27477,2.27052
0,1,5.03622,2.74802
0,2,3.82508,2.32554
0,3,3.1913,2.12243
0,4,2.69482,1.94685
0,5,2.25944,1.78876
0,6,1.85029,1.62372
0,7,1.45779,1.43552
0,8,1.09425,1.24153
1,0,2.30398,2.2972
1,1,5.13534,2.77357
1,2,3.87725,2.34578
1,3,3.23587,2.13859
1,4,2.72796,1.95761
1,5,2.28021,1.79709
1,6,1.87132,1.63261
1,7,1.46918,1.44181
1,8,1.10009,1.24142
2,0,2.32687,2.31819
2,1,5.21015,2.79645
2,2,3.92315,2.35205
2,3,3.27651,2.15587
2,4,2.75306,1.96716
2,5,2.29719,1.79665
2,6,1.88343,1.63696
2,7,1.48011,1.45255
2,8,1.10101,1.24082
3,0,2.3508,2.34298
3,1,5.28803,2.82333
3,2,3.97941,2.36935
3,3,3.31196,2.17029
3,4,2.78045,1.98364
3,5,2.32041,1.80938
3,6,1.8903,1.64092
3,7,1.48593,1.45664
3,8,1.10438,1.24506
4,0,2.37057,2.36352
4,1,5.35829,2.84764
4,2,4.02577,2.38935
4,3,3.33727,2.1792
4,4,2.80161,1.98871
4,5,2.34108,1.81866
4,6,1.89863,1.64381
4,7,1.49004,1.4563
4,8,1.1059,1.24606
5,0,2.38296,2.37686
5,1,5.41173,2.86172
5,2,4.05683,2.40176
5,3,3.35991,2.17585
5,4,2.81009,1.99251
5,5,2.34677,1.82212
5,6,1.90307,1.64153
5,7,1.49346,1.45639
5,8,1.10529,1.24465
6,0,2.38143,2.38127
6,1,5.43664,2.87465
6,2,4.05673,2.39825
6,3,3.36584,2.17987
6,4,2.81126,1.98945
6,5,2.33822,1.8173
6,6,1.89527,1.63179
6,7,1.48446,1.44886
6,8,1.09686,1.23686
7,0,2.3835,2.38881
7,1,5.46692,2.88756
7,2,4.07103,2.40196
7,3,3.3657,2.17997
7,4,2.81911,1.99069
7,5,2.33634,1.81826
7,6,1.89295,1.63313
7,7,1.47607,1.43853
7,8,1.08779,1.22934
8,0,2.40068,2.4054
8,1,5.52462,2.90455
8,2,4.11285,2.41355
8,3,3.39075,2.18517
8,4,2.83755,2.00024
8,5,2.35112,1.82141
8,6,1.89895,1.63671
8,7,1.47972,1.43789
8,8,1.091,1.22938
9,0,2.41098,2.41198
9,1,5.56487,2.90407
9,2,4.1343,2.41062
9,3,3.41053,2.18461
9,4,2.84511,1.99757
9,5,2.35854,1.81993
9,6,1.90391,1.63627
9,7,1.48158,1.43679
9,8,1.09351,1.22535
10,0,2.41476,2.41694
10,1,5.59208,2.91119
10,2,4.14613,2.41204
10,3,3.41589,2.18491
10,4,2.8494,1.99604
10,5,2.35687,1.81343
10,6,1.90523,1.63464
10,7,1.47889,1.43037
10,8,1.09097,1.22409
11,0,2.42035,2.42647
11,1,5.62999,2.92885
11,2,4.16296,2.41488
11,3,3.42384,2.18847
11,4,2.85259,1.99705
11,5,2.35498,1.81293
11,6,1.90488,1.62904
11,7,1.47795,1.43266
11,8,1.08909,1.21974
12,0,2.43413,2.44183
12,1,5.6864,2.94995
12,2,4.19769,2.42403
12,3,3.445,2.19592
12,4,2.86031,1.99901
12,5,2.36221,1.8137
12,6,1.91374,1.6298
12,7,1.48223,1.43344
12,8,1.0897,1.21843
13,0,2.44661,2.45265
13,1,5.73168,2.95469
13,2,4.22571,2.43338
13,3,3.46754,2.19883
13,4,2.87704,1.99776
13,5,2.37354,1.81464
13,6,1.91515,1.6282
13,7,1.48279,1.42958
13,8,1.09039,1.21842
14,0,2.43237,2.44424
14,1,5.7107,2.95012
14,2,4.20907,2.42695
14,3,3.45264,2.18469
14,4,2.86191,1.99258
14,5,2.35728,1.80329
14,6,1.89631,1.61309
14,7,1.46943,1.421
14,8,1.07876,1.21299
15,0,2.24936,2.35614
15,1,5.29464,2.98135
15,2,3.89717,2.41851
15,3,3.19667,2.1642
15,4,2.64442,1.95834
15,5,2.17613,1.76387
15,6,1.75308,1.57315
15,7,1.35536,1.3743
15,8,0.993404,1.16522
